epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.7624,0.45965,0.9097,1,0.27682,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557
2,17.9693,0.24777,0.9398,1,0.13519,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131
3,25.2905,0.16414,0.95987,1,0.11405,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506
4,32.5417,0.14755,0.96656,1,0.06133,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,39.896,0.14383,0.97324,1,0.08189,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,47.0643,0.13339,0.9699,1,0.07346,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,54.1707,0.1035,0.97324,1,0.11022,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,61.4249,0.11344,0.97993,1,0.07248,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,68.6167,0.09747,0.98662,1,0.06701,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,75.5343,0.07429,0.97993,1,0.06871,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,82.9023,0.08843,0.96321,1,0.09664,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,90.0291,0.06373,0.97659,1,0.06263,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,96.9759,0.04779,0.96656,1,0.09159,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
