epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.4479,1.91957,4.24249,1.65386,0.00277,0.18587,0.00193,0.00103,1.38405,3.79454,1.35728,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,38.9085,1.52772,3.94664,1.32338,0.00499,0.36825,0.00641,0.00285,1.24827,3.6147,1.15892,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674,0.00173302,0.000577674
3,52.8769,1.3915,3.50045,1.14801,0.00852,0.67916,0.07895,0.03932,1.23581,3.36522,1.03979,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017,0.00259805,0.000866017
4,68.2244,1.39603,2.83611,1.1205,0.86623,0.05826,0.29037,0.16698,1.3182,2.93523,1.08629,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842,0.00344525,0.00114842
5,82.4282,1.31263,2.18434,1.0987,0.81905,0.32128,0.39191,0.21763,1.41456,2.30813,1.15065,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488,0.00427463,0.00142488
6,96.7022,1.30307,1.96694,1.07725,0.40457,0.56828,0.4894,0.29963,1.26103,1.84801,1.07398,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,109.269,1.24872,1.72558,1.07536,0.60555,0.6228,0.61134,0.37969,1.20383,1.62645,1.07212,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,122.393,1.16881,1.58523,1.07882,0.60304,0.65628,0.65804,0.42688,1.15361,1.46838,1.04512,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,137.167,1.16019,1.47533,1.06145,0.69377,0.65079,0.71017,0.46279,1.14767,1.37564,1.04449,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,152.39,1.13386,1.40514,1.0572,0.77253,0.68709,0.76141,0.49477,1.15112,1.32786,1.05795,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,167.488,1.14889,1.35019,1.07029,0.78919,0.65964,0.76176,0.48842,1.15335,1.30762,1.06321,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,181.504,1.13212,1.27786,1.05678,0.82078,0.70516,0.79717,0.51617,1.12097,1.23712,1.05508,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,194.421,1.09986,1.2362,1.04743,0.84974,0.69907,0.80376,0.51918,1.10998,1.18471,1.04599,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,210.98,1.07029,1.15759,1.03371,0.83493,0.7381,0.81098,0.53059,1.11573,1.126,1.04618,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,226.389,1.0421,1.14611,1.025,0.85175,0.74705,0.81776,0.54144,1.08692,1.08386,1.0469,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,239.229,1.07215,1.11778,1.0382,0.74973,0.7549,0.82078,0.54783,1.10847,1.11327,1.06063,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,253.714,1.05459,1.0531,1.00771,0.84496,0.73218,0.81005,0.5623,1.13871,1.03539,1.05681,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,270.068,1.03175,1.04726,1.02761,0.78507,0.78643,0.82574,0.56856,1.11427,1.00541,1.05923,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,284.931,1.00819,1.00222,0.99501,0.736,0.73596,0.79798,0.54778,1.09819,1.09432,1.05613,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,302.121,1.02273,0.98987,1.01053,0.84241,0.75871,0.83781,0.58442,1.07976,0.9709,1.04573,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,317.901,1.00216,0.97003,0.99429,0.88666,0.72339,0.84896,0.58976,1.10474,0.97754,1.05066,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,334.588,1.02315,1.00294,1.01148,0.85995,0.74451,0.84914,0.5894,1.06288,0.94417,1.04473,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,347.492,0.97002,0.90871,0.9937,0.7558,0.76155,0.83364,0.57379,1.07668,0.99572,1.04534,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,362.472,0.9747,0.92816,0.9861,0.80445,0.73144,0.8253,0.56483,1.09343,0.99454,1.04919,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,374.109,0.98813,0.90084,0.99617,0.84943,0.73766,0.83181,0.56952,1.07108,0.96058,1.04886,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,389.201,0.98889,0.89768,0.98908,0.85168,0.77929,0.84853,0.57607,1.07901,0.92367,1.05239,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,403.177,0.94714,0.88972,0.99732,0.90122,0.7324,0.84539,0.58412,1.08447,0.94736,1.04723,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,416.824,0.9621,0.87113,0.99295,0.89865,0.71047,0.85038,0.58318,1.08346,0.91904,1.04471,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,429.798,0.93008,0.8346,0.9802,0.88028,0.74239,0.85355,0.5955,1.06314,0.91608,1.03925,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,443.236,0.97188,0.85363,0.98036,0.859,0.75445,0.84794,0.5836,1.11371,0.93582,1.05086,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,455.942,0.94395,0.82397,0.97424,0.8287,0.74415,0.85056,0.58201,1.11095,0.92366,1.05091,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,469.362,0.92484,0.79905,0.97724,0.84407,0.7268,0.84059,0.59312,1.05355,0.92464,1.03651,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,481.532,0.92328,0.78939,0.97135,0.82808,0.75163,0.84977,0.58433,1.08946,0.93095,1.04945,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,495.728,0.92285,0.81057,0.97041,0.80151,0.76014,0.84326,0.57845,1.10354,0.9341,1.05572,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
