epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.787,1.87748,4.03008,1.66031,0.00197,0.13551,0.00369,0.00088,1.38192,3.78418,1.34862,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339,0.00085017,0.00028339
2,60.9531,1.53518,3.72426,1.42385,0.00544,0.38241,0.00983,0.00389,1.25199,3.6433,1.1739,0.00171569,0.000571898,0.00171569,0.000571898,0.00171569,0.000571898,0.00171569,0.000571898
3,72.0233,1.49026,2.81465,1.41186,0.00773,0.59678,0.01473,0.00722,1.21064,3.44352,1.17714,0.00254557,0.000848523,0.00254557,0.000848523,0.00254557,0.000848523,0.00254557,0.000848523
4,82.4563,1.37699,2.16474,1.37362,0.00971,0.7863,0.18368,0.09033,1.2176,3.09344,1.22362,0.0033398,0.00111327,0.0033398,0.00111327,0.0033398,0.00111327,0.0033398,0.00111327
5,95.4634,1.35884,1.91046,1.3353,0.53111,0.10389,0.38812,0.20645,1.30405,2.49919,1.30959,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613,0.00409838,0.00136613
6,107.011,1.26878,1.73781,1.26339,0.40652,0.46566,0.3854,0.2169,1.2425,2.01268,1.25984,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,117.902,1.2156,1.65577,1.20372,0.40274,0.57616,0.41133,0.25099,1.19688,1.81542,1.16809,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,129.448,1.19533,1.60617,1.17453,0.44726,0.64289,0.47017,0.3031,1.20538,1.61807,1.15933,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,140.61,1.17133,1.47365,1.1523,0.48562,0.60791,0.52124,0.3336,1.21748,1.54438,1.16289,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,153.272,1.15853,1.45011,1.15238,0.63652,0.64222,0.67323,0.4277,1.1644,1.38178,1.15208,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,164.662,1.16746,1.43369,1.12074,0.73423,0.69309,0.74997,0.48307,1.13869,1.26542,1.15064,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,177.08,1.1221,1.31147,1.10657,0.7256,0.70824,0.77305,0.49568,1.12555,1.21458,1.14773,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,189.102,1.11015,1.26766,1.10308,0.73614,0.73521,0.78567,0.49633,1.14787,1.21466,1.14855,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,201.658,1.07787,1.17102,1.07292,0.79388,0.72997,0.80304,0.49539,1.15934,1.20803,1.16872,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,212.592,1.07447,1.23213,1.08404,0.75663,0.77388,0.81787,0.52216,1.11759,1.1765,1.15068,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,225.478,1.05792,1.16,1.0926,0.79958,0.70543,0.81736,0.5348,1.11846,1.1292,1.14022,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,236.843,1.05046,1.12026,1.07152,0.81821,0.736,0.83042,0.54859,1.08961,1.06252,1.10196,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,249.787,1.03258,1.09172,1.04591,0.86868,0.72013,0.83303,0.5671,1.0714,1.04152,1.08346,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,260.546,1.01335,1.07451,1.03634,0.86846,0.72038,0.83224,0.5566,1.09548,1.06083,1.08522,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,273.938,1.05391,1.03863,1.04572,0.80487,0.74667,0.8286,0.55695,1.10604,1.04321,1.0872,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,285.318,1.01934,1.01091,1.03251,0.84949,0.70758,0.83148,0.55811,1.07142,1.02266,1.07613,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,298.449,1.00916,1.00052,1.03459,0.86881,0.73454,0.83789,0.55478,1.10437,1.01554,1.09125,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,309.342,1.00162,0.9721,1.02505,0.79034,0.78923,0.83873,0.56408,1.11841,0.99904,1.09698,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,322.001,1.02121,1.01595,1.03175,0.78373,0.81599,0.84577,0.56953,1.11977,0.97476,1.09937,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,331.876,0.98229,0.95885,1.01776,0.78398,0.78455,0.84415,0.5753,1.11859,0.98716,1.10111,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,345.399,0.96225,0.94355,1.00313,0.82286,0.75704,0.83516,0.56612,1.14245,1.01046,1.09851,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,357.87,1.00539,0.93623,1.02704,0.81859,0.79005,0.84441,0.57883,1.10502,0.98871,1.09189,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,370.67,0.96125,0.89014,1.01137,0.81117,0.77028,0.84496,0.56769,1.13894,1.02112,1.09112,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,382.156,0.95362,0.89267,1.00347,0.80304,0.79064,0.83717,0.56642,1.17321,1.00796,1.1119,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,395.108,0.96793,0.87281,1.0015,0.86045,0.73743,0.84737,0.57546,1.11386,0.97895,1.09202,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,406.126,0.95365,0.86986,0.99909,0.86826,0.7519,0.84215,0.57847,1.11747,0.97238,1.09039,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,418.724,0.98487,0.89282,1.0092,0.80393,0.7961,0.84078,0.57452,1.13912,0.97922,1.09848,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,430.908,0.95306,0.85896,0.99501,0.8153,0.76496,0.83952,0.58517,1.10488,0.96428,1.07894,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,444.073,0.95287,0.84061,0.99635,0.86709,0.74516,0.85915,0.58679,1.11262,0.95544,1.08712,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,454.292,0.93855,0.83314,1.0003,0.85321,0.77916,0.85946,0.57831,1.15337,0.95802,1.10561,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,467.462,0.91799,0.83448,0.98456,0.78758,0.80009,0.84794,0.57557,1.12383,0.95677,1.0944,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,478.553,0.91387,0.81637,0.98094,0.79831,0.79672,0.84695,0.57871,1.12003,0.94235,1.10265,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,490.504,0.93633,0.81832,0.98342,0.82,0.80698,0.8589,0.58946,1.10728,0.93888,1.09599,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,503.009,0.90836,0.83134,0.99126,0.8449,0.80173,0.86094,0.59108,1.10831,0.93333,1.08926,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,515.578,0.89161,0.80493,0.97406,0.8513,0.763,0.85206,0.58897,1.09641,0.94319,1.0859,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,536.644,0.86587,0.87178,0.96014,0.80966,0.7826,0.84813,0.58426,1.107,0.96893,1.08441,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,549.901,0.84362,0.82204,0.94126,0.79034,0.78554,0.839,0.57441,1.12069,1.01274,1.09539,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,560.592,0.84424,0.81174,0.94298,0.78576,0.77441,0.83274,0.57235,1.09607,0.98504,1.09265,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,572.628,0.83594,0.81032,0.94454,0.7933,0.76789,0.83589,0.57394,1.09314,0.93337,1.09931,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,585.814,0.84029,0.81838,0.94845,0.80175,0.77503,0.83955,0.57874,1.08804,0.93295,1.09987,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,598.214,0.79823,0.77134,0.93597,0.79029,0.78871,0.83754,0.56707,1.11154,0.93425,1.10488,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,611.476,0.82078,0.78614,0.94548,0.7922,0.79172,0.83612,0.56361,1.10321,0.93931,1.09865,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,622.313,0.82394,0.77751,0.93663,0.78066,0.79422,0.83161,0.56682,1.09799,0.93368,1.09441,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,633.823,0.78956,0.75777,0.92656,0.78779,0.79705,0.83536,0.57321,1.09494,0.9306,1.0923,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,646.162,0.78975,0.76935,0.92632,0.77286,0.80718,0.83704,0.57164,1.10003,0.93062,1.09429,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
