epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.094,0.57857,0.87625,1,0.33955,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557
2,16.3821,0.27588,0.94314,1,0.15103,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131
3,23.2651,0.17102,0.95987,1,0.11442,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506
4,30.2774,0.14257,0.96656,1,0.07917,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,37.4322,0.14518,0.97324,1,0.07958,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,44.9431,0.13143,0.97659,1,0.07605,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,52.0967,0.10107,0.97993,1,0.11053,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,59.0325,0.11258,0.96656,1,0.08095,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,66.1396,0.09944,0.97324,1,0.07265,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,73.5032,0.08804,0.97659,1,0.08761,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,80.6953,0.08615,0.9699,1,0.11929,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,87.6298,0.07302,0.98662,1,0.06056,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,94.867,0.04941,0.97324,1,0.07948,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,102.041,0.05022,0.9699,1,0.09106,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,109.525,0.06292,0.96321,1,0.11552,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,116.546,0.06744,0.96321,1,0.10803,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,123.496,0.05783,0.95652,1,0.09134,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,130.593,0.05005,0.95987,1,0.10746,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,138.086,0.076,0.95987,1,0.13231,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,145.122,0.03593,0.96656,1,0.11593,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,152.16,0.04439,0.9699,1,0.18139,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,159.196,0.04847,0.96656,1,0.17918,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,166.722,0.04166,0.97324,1,0.0929,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,173.819,0.04337,0.95652,1,0.12317,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,180.84,0.04592,0.96656,1,0.07122,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,187.894,0.037,0.96656,1,0.09095,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,195.137,0.04307,0.97324,1,0.07507,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,202.363,0.04465,0.9699,1,0.15381,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,209.353,0.03438,0.97324,1,0.06786,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,216.282,0.0193,0.97659,1,0.04752,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,223.517,0.02691,0.97993,1,0.07197,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,230.745,0.03309,0.97993,1,0.06345,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,237.777,0.01848,0.98328,1,0.07588,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,244.817,0.02731,0.97659,1,0.08163,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,251.801,0.01781,0.98328,1,0.056,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,258.992,0.02887,0.98328,1,0.04752,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,266.139,0.04738,0.98662,1,0.05348,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,273.313,0.02645,0.97993,1,0.06564,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,280.554,0.04223,0.9699,1,0.10325,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,287.552,0.02679,0.97324,1,0.05855,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,294.76,0.02725,0.9699,1,0.10424,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,301.926,0.01547,0.97324,1,0.07862,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
