epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.05334,0.58427,0.88963,1,0.31538,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557,0.00163967,0.000546557
2,16.5349,0.26345,0.94314,1,0.13682,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131,0.00327394,0.00109131
3,23.8378,0.1649,0.95987,1,0.10558,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506,0.00487519,0.00162506
4,30.8895,0.13934,0.95652,1,0.0699,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,38.0887,0.14727,0.9699,1,0.06828,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,45.2321,0.13061,0.97659,1,0.07099,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,52.4176,0.10625,0.97659,1,0.0973,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,59.3671,0.10966,0.97324,1,0.06265,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,66.6173,0.09321,0.97993,1,0.05621,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,73.6956,0.08122,0.97659,1,0.07827,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,81.0885,0.0819,0.96656,1,0.10679,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,87.9891,0.07037,0.98328,1,0.06432,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,95.2022,0.04916,0.9699,1,0.07784,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,102.164,0.05074,0.9699,1,0.07514,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,109.627,0.05581,0.96321,1,0.11825,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,116.636,0.05469,0.9699,1,0.07815,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,123.718,0.06207,0.97659,1,0.06297,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,130.704,0.04138,0.97659,1,0.07751,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,137.802,0.05842,0.96656,1,0.11768,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,144.96,0.03142,0.96656,1,0.08555,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,151.874,0.05576,0.96321,1,0.10742,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,158.753,0.04516,0.96656,1,0.16148,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
